genotype,treatment,run,cat_freq
WT,YES,1,0.004878049
WT,YES,2,0.002207506
WT,YES,3,0.003592814
cut8-563,YES,1,0.331701346
cut8-563,YES,2,0.36030205
cut8-563,YES,3,0.331632653
smc6-x,YES,1,0.076433121
smc6-x,YES,2,0.046636771
smc6-x,YES,3,0.099585062
nse3-R254E,YES,1,0.026957638
nse3-R254E,YES,2,0.029813665
nse3-R254E,YES,3,0.033722438
WT,YES-N,1,0.002265861
WT,YES-N,2,0
WT,YES-N,3,0.003724395
cut8-563,YES-N,1,0.211289092
cut8-563,YES-N,2,0.238518519
cut8-563,YES-N,3,0.226255293
smc6-x,YES-N,1,0.024264706
smc6-x,YES-N,2,0.039711191
smc6-x,YES-N,3,0.023688663
nse3-R254E,YES-N,1,0.0121873
nse3-R254E,YES-N,2,0.01039261
nse3-R254E,YES-N,3,0.016886931
