genotype,run,cat_freq
WT,1,0.004761905
WT,2,0.00482509
WT,3,0.008264463
Dcbf11,1,0.153679654
Dcbf11,2,0.140458015
Dcbf11,3,0.162624822
Dcbf11_tor2ts,1,0.101511879
Dcbf11_tor2ts,2,0.155462185
Dcbf11_tor2ts,3,0.144694534
