genotype,treatment,run,cat_freq
WT,YES,1,0.00088574
WT,YES,2,0
WT,YES,3,0.001094092
WT,93mM,1,0
WT,93mM,2,0
WT,93mM,3,0
WT,50mM,1,0.002132196
WT,50mM,2,0
WT,50mM,3,0
WT,20mM,1,0
WT,20mM,2,0
WT,20mM,3,0
Dcbf11,YES,1,0.088807786
Dcbf11,YES,2,0.060279871
Dcbf11,YES,3,0.078726968
Dcbf11,93mM,1,0.024832856
Dcbf11,93mM,2,0.018418202
Dcbf11,93mM,3,0.022067364
Dcbf11,50mM,1,0.031453362
Dcbf11,50mM,2,0.034006376
Dcbf11,50mM,3,0.03
Dcbf11,20mM,1,0.039473684
Dcbf11,20mM,2,0.043870968
Dcbf11,20mM,3,0.018134715
