treatment,run,cat_freq
DMSO,1,0.097911227
DMSO,2,0.099512195
DMSO,3,0.110144928
Amm,1,0.058127018
Amm,2,0.051593323
Amm,3,0.085507246
Rapa,1,0.049396268
Rapa,2,0.056551724
Rapa,3,0.045053004
Rapa+Amm,1,0.067340067
Rapa+Amm,2,0.04512276
Rapa+Amm,3,0.055389222
