genotype,treatment,run,amount
WT,YES,1,29.54658335
WT,YES,2,31.84850588
WT,YES,3,31.76085258
WT,YES_N,1,35.07579914
WT,YES_N,2,30.09524551
WT,YES_N,3,33.87746259
Dcbf11,YES,1,27.1562079
Dcbf11,YES,2,25.49412973
Dcbf11,YES,3,26.00073542
Dcbf11,YES_N,1,24.49184826
Dcbf11,YES_N,2,24.03999789
Dcbf11,YES_N,3,24.12663793
